scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,ticker,sil_gt_sig
LOW,27,1048,1075,0.025116279069767444,0.9748837209302326,38.81481481481482,LOW,True
PG,55,1014,1069,0.05144995322731525,0.9485500467726847,18.436363636363637,PG,True
T,59,964,1023,0.05767350928641251,0.9423264907135875,16.338983050847457,T,True
BA,72,946,1018,0.07072691552062868,0.9292730844793713,13.13888888888889,BA,True
BLK,61,944,1005,0.06069651741293532,0.9393034825870646,15.475409836065573,BLK,True
JPM,73,920,993,0.07351460221550855,0.9264853977844915,12.602739726027398,JPM,True
FDX,28,955,983,0.028484231943031537,0.9715157680569685,34.107142857142854,FDX,True
MA,83,891,974,0.08521560574948665,0.9147843942505134,10.734939759036145,MA,True
GOOG,31,940,971,0.03192584963954686,0.9680741503604532,30.322580645161292,GOOG,True
GM,52,913,965,0.0538860103626943,0.9461139896373058,17.557692307692307,GM,True
SCHW,25,911,936,0.026709401709401708,0.9732905982905983,36.44,SCHW,True
PANW,35,877,912,0.03837719298245614,0.9616228070175439,25.057142857142857,PANW,True
CRWD,42,860,902,0.04656319290465632,0.9534368070953437,20.476190476190474,CRWD,True
DASH,22,873,895,0.024581005586592177,0.9754189944134078,39.68181818181818,DASH,True
AXP,33,851,884,0.03733031674208145,0.9626696832579186,25.78787878787879,AXP,True
LMT,81,799,880,0.09204545454545454,0.9079545454545455,9.864197530864198,LMT,True
PFE,116,764,880,0.1318181818181818,0.8681818181818182,6.586206896551724,PFE,True
ABBV,46,821,867,0.0530565167243368,0.9469434832756632,17.847826086956523,ABBV,True
AVGO,75,788,863,0.08690614136732329,0.9130938586326767,10.506666666666666,AVGO,True
C,21,834,855,0.02456140350877193,0.9754385964912281,39.714285714285715,C,True
DAL,29,794,823,0.03523693803159174,0.9647630619684082,27.379310344827587,DAL,True
QCOM,42,780,822,0.051094890510948905,0.948905109489051,18.571428571428573,QCOM,True
ABNB,37,778,815,0.04539877300613497,0.9546012269938651,21.027027027027028,ABNB,True
KHC,33,777,810,0.040740740740740744,0.9592592592592593,23.545454545454547,KHC,True
ORCL,48,756,804,0.05970149253731343,0.9402985074626866,15.75,ORCL,True
GE,13,786,799,0.016270337922403004,0.983729662077597,60.46153846153846,GE,True
GIS,53,714,767,0.06910039113428944,0.9308996088657105,13.471698113207546,GIS,True
UNH,33,729,762,0.04330708661417323,0.9566929133858267,22.09090909090909,UNH,True
MMM,29,728,757,0.03830911492734478,0.9616908850726552,25.103448275862068,MMM,True
CAT,42,714,756,0.05555555555555555,0.9444444444444444,17.0,CAT,True
OXY,31,707,738,0.04200542005420054,0.9579945799457995,22.806451612903224,OXY,True
WYNN,28,703,731,0.038303693570451436,0.9616963064295485,25.107142857142858,WYNN,True
HSY,28,679,707,0.039603960396039604,0.9603960396039604,24.25,HSY,True
CMCSA,12,683,695,0.017266187050359712,0.9827338129496402,56.916666666666664,CMCSA,True
INTU,48,624,672,0.07142857142857142,0.9285714285714286,13.0,INTU,True
EBAY,4,658,662,0.006042296072507553,0.9939577039274925,164.5,EBAY,True
NCLH,10,626,636,0.015723270440251572,0.9842767295597484,62.6,NCLH,True
BMY,23,612,635,0.03622047244094488,0.9637795275590552,26.608695652173914,BMY,True
WBD,17,603,620,0.027419354838709678,0.9725806451612903,35.470588235294116,WBD,True
NEE,29,585,614,0.04723127035830619,0.9527687296416938,20.17241379310345,NEE,True
UAL,33,579,612,0.05392156862745098,0.946078431372549,17.545454545454547,UAL,True
XYZ,17,592,609,0.027914614121510674,0.9720853858784894,34.8235294117647,XYZ,True
FTNT,14,590,604,0.023178807947019868,0.9768211920529801,42.142857142857146,FTNT,True
MO,7,596,603,0.011608623548922056,0.988391376451078,85.14285714285714,MO,True
BX,48,536,584,0.0821917808219178,0.9178082191780822,11.166666666666666,BX,True
BBY,20,563,583,0.03430531732418525,0.9656946826758147,28.15,BBY,True
ON,18,565,583,0.030874785591766724,0.9691252144082333,31.38888888888889,ON,True
UNP,54,529,583,0.09262435677530018,0.9073756432246999,9.796296296296296,UNP,True
LEN,31,541,572,0.05419580419580419,0.9458041958041958,17.451612903225808,LEN,True
GD,20,550,570,0.03508771929824561,0.9649122807017544,27.5,GD,True
TXN,19,549,568,0.03345070422535211,0.9665492957746479,28.894736842105264,TXN,True
HPQ,8,555,563,0.014209591474245116,0.9857904085257548,69.375,HPQ,True
TSN,30,529,559,0.05366726296958855,0.9463327370304114,17.633333333333333,TSN,True
AMGN,27,521,548,0.04927007299270073,0.9507299270072993,19.296296296296298,AMGN,True
WM,11,537,548,0.020072992700729927,0.9799270072992701,48.81818181818182,WM,True
AMD,18,528,546,0.03296703296703297,0.967032967032967,29.333333333333332,AMD,True
DHI,38,502,540,0.07037037037037037,0.9296296296296296,13.210526315789474,DHI,True
ABT,14,524,538,0.026022304832713755,0.9739776951672863,37.42857142857143,ABT,True
COP,6,529,535,0.011214953271028037,0.9887850467289719,88.16666666666667,COP,True
BKNG,24,505,529,0.045368620037807186,0.9546313799621928,21.041666666666668,BKNG,True
TMUS,15,513,528,0.028409090909090908,0.9715909090909091,34.2,TMUS,True
AMAT,16,511,527,0.030360531309297913,0.969639468690702,31.9375,AMAT,True
MRNA,35,487,522,0.06704980842911877,0.9329501915708812,13.914285714285715,MRNA,True
LVS,12,504,516,0.023255813953488372,0.9767441860465116,42.0,LVS,True
EA,9,506,515,0.017475728155339806,0.9825242718446602,56.22222222222222,EA,True
DOW,8,504,512,0.015625,0.984375,63.0,DOW,True
KR,26,479,505,0.05148514851485148,0.9485148514851485,18.423076923076923,KR,True
EXPE,9,489,498,0.018072289156626505,0.9819277108433735,54.333333333333336,EXPE,True
MU,8,490,498,0.01606425702811245,0.9839357429718876,61.25,MU,True
LRCX,16,480,496,0.03225806451612903,0.967741935483871,30.0,LRCX,True
DG,26,466,492,0.052845528455284556,0.9471544715447154,17.923076923076923,DG,True
NOW,22,467,489,0.044989775051124746,0.9550102249488752,21.227272727272727,NOW,True
MDT,49,439,488,0.10040983606557377,0.8995901639344263,8.959183673469388,MDT,True
BIIB,3,481,484,0.006198347107438017,0.993801652892562,160.33333333333334,BIIB,True
HAS,6,476,482,0.012448132780082987,0.9875518672199171,79.33333333333333,HAS,True
DDOG,8,457,465,0.017204301075268817,0.9827956989247312,57.125,DDOG,True
ROST,15,450,465,0.03225806451612903,0.967741935483871,30.0,ROST,True
SMCI,30,427,457,0.06564551422319474,0.9343544857768052,14.233333333333333,SMCI,True
O,9,440,449,0.0200445434298441,0.9799554565701559,48.888888888888886,O,True
MCK,6,441,447,0.013422818791946308,0.9865771812080537,73.5,MCK,True
KMB,10,436,446,0.02242152466367713,0.9775784753363229,43.6,KMB,True
UPS,3,439,442,0.006787330316742082,0.9932126696832579,146.33333333333334,UPS,True
DPZ,20,420,440,0.045454545454545456,0.9545454545454546,21.0,DPZ,True
CLX,11,423,434,0.02534562211981567,0.9746543778801844,38.45454545454545,CLX,True
SLB,25,403,428,0.05841121495327103,0.9415887850467289,16.12,SLB,True
HAL,8,420,428,0.018691588785046728,0.9813084112149533,52.5,HAL,True
FOX,7,416,423,0.016548463356973995,0.983451536643026,59.42857142857143,FOX,True
MDLZ,8,414,422,0.018957345971563982,0.981042654028436,51.75,MDLZ,True
KMX,6,408,414,0.014492753623188406,0.9855072463768116,68.0,KMX,True
NOC,25,389,414,0.06038647342995169,0.9396135265700483,15.56,NOC,True
STZ,5,406,411,0.012165450121654502,0.9878345498783455,81.2,STZ,True
CZR,3,407,410,0.007317073170731708,0.9926829268292683,135.66666666666666,CZR,True
CVS,3,406,409,0.007334963325183374,0.9926650366748166,135.33333333333334,CVS,True
AMT,10,395,405,0.024691358024691357,0.9753086419753086,39.5,AMT,True
HUM,9,387,396,0.022727272727272728,0.9772727272727273,43.0,HUM,True
FCX,34,361,395,0.08607594936708861,0.9139240506329114,10.617647058823529,FCX,True
MTCH,8,383,391,0.020460358056265986,0.979539641943734,47.875,MTCH,True
TT,10,379,389,0.02570694087403599,0.974293059125964,37.9,TT,True
FAST,8,378,386,0.02072538860103627,0.9792746113989638,47.25,FAST,True
SPG,7,376,383,0.018276762402088774,0.9817232375979112,53.714285714285715,SPG,True
AZO,6,375,381,0.015748031496062992,0.984251968503937,62.5,AZO,True
SPGI,61,320,381,0.16010498687664043,0.8398950131233596,5.245901639344262,SPGI,True
WDAY,4,373,377,0.010610079575596816,0.9893899204244032,93.25,WDAY,True
DVN,7,366,373,0.01876675603217158,0.9812332439678284,52.285714285714285,DVN,True
MCO,31,337,368,0.08423913043478261,0.9157608695652174,10.870967741935484,MCO,True
IP,2,359,361,0.00554016620498615,0.9944598337950139,179.5,IP,True
YUM,7,347,354,0.01977401129943503,0.980225988700565,49.57142857142857,YUM,True
EW,4,350,354,0.011299435028248588,0.9887005649717514,87.5,EW,True
LUV,9,343,352,0.02556818181818182,0.9744318181818182,38.111111111111114,LUV,True
MPC,19,327,346,0.05491329479768786,0.9450867052023122,17.210526315789473,MPC,True
DLTR,9,337,346,0.02601156069364162,0.9739884393063584,37.44444444444444,DLTR,True
ISRG,8,330,338,0.023668639053254437,0.9763313609467456,41.25,ISRG,True
ENPH,4,324,328,0.012195121951219513,0.9878048780487805,81.0,ENPH,True
CPB,4,321,325,0.012307692307692308,0.9876923076923076,80.25,CPB,True
BK,3,321,324,0.009259259259259259,0.9907407407407407,107.0,BK,True
MOS,39,277,316,0.12341772151898735,0.8765822784810127,7.102564102564102,MOS,True
WSM,3,312,315,0.009523809523809525,0.9904761904761905,104.0,WSM,True
ADI,6,300,306,0.0196078431372549,0.9803921568627451,50.0,ADI,True
NEM,8,295,303,0.026402640264026403,0.9735973597359736,36.875,NEM,True
SWK,2,292,294,0.006802721088435374,0.9931972789115646,146.0,SWK,True
NDSN,2,287,289,0.006920415224913495,0.9930795847750865,143.5,NDSN,True
ADM,9,277,286,0.03146853146853147,0.9685314685314685,30.77777777777778,ADM,True
UAA,2,280,282,0.0070921985815602835,0.9929078014184397,140.0,UAA,True
USB,16,264,280,0.05714285714285714,0.9428571428571428,16.5,USB,True
TTD,6,273,279,0.021505376344086023,0.978494623655914,45.5,TTD,True
CHTR,3,275,278,0.01079136690647482,0.9892086330935251,91.66666666666667,CHTR,True
PGR,10,265,275,0.03636363636363636,0.9636363636363636,26.5,PGR,True
REGN,8,263,271,0.02952029520295203,0.9704797047970479,32.875,REGN,True
EQT,21,247,268,0.07835820895522388,0.9216417910447762,11.761904761904763,EQT,True
DELL,6,262,268,0.022388059701492536,0.9776119402985075,43.666666666666664,DELL,True
SNA,6,261,267,0.02247191011235955,0.9775280898876404,43.5,SNA,True
ETN,13,250,263,0.049429657794676805,0.9505703422053232,19.23076923076923,ETN,True
MET,4,258,262,0.015267175572519083,0.9847328244274809,64.5,MET,True
CTVA,9,252,261,0.034482758620689655,0.9655172413793104,28.0,CTVA,True
CCI,3,257,260,0.011538461538461539,0.9884615384615385,85.66666666666667,CCI,True
PTC,1,258,259,0.003861003861003861,0.9961389961389961,258.0,PTC,True
NUE,7,252,259,0.02702702702702703,0.972972972972973,36.0,NUE,True
CL,1,257,258,0.003875968992248062,0.9961240310077519,257.0,CL,True
CSX,6,249,255,0.023529411764705882,0.9764705882352941,41.5,CSX,True
IR,1,251,252,0.003968253968253968,0.996031746031746,251.0,IR,True
DUK,4,247,251,0.01593625498007968,0.9840637450199203,61.75,DUK,True
IFF,2,247,249,0.008032128514056224,0.9919678714859438,123.5,IFF,True
VRTX,4,244,248,0.016129032258064516,0.9838709677419355,61.0,VRTX,True
SJM,6,238,244,0.02459016393442623,0.9754098360655737,39.666666666666664,SJM,True
CF,3,240,243,0.012345679012345678,0.9876543209876543,80.0,CF,True
ODFL,3,239,242,0.012396694214876033,0.987603305785124,79.66666666666667,ODFL,True
GLW,2,240,242,0.008264462809917356,0.9917355371900827,120.0,GLW,True
ULTA,17,224,241,0.07053941908713693,0.9294605809128631,13.176470588235293,ULTA,True
HON,1,240,241,0.004149377593360996,0.995850622406639,240.0,HON,True
DE,4,236,240,0.016666666666666666,0.9833333333333333,59.0,DE,True
CME,4,229,233,0.017167381974248927,0.9828326180257511,57.25,CME,True
