file,kol,split,rows,state_dim,done_ratio,d_sig,d_sil,sil_sig_ratio,action_abs_mean,baseline_abs_mean,reward_mean,reward_std,prew_mean,prew_std,nan_total,inf_total,done_next_nonzero,non_done_next_zero,meta_len_ok
Stephanie_Link/test.pt,Stephanie_Link,test,11197,1066,0.010806466452777386,421,10776,25.59619952494062,0.012235419824719429,0.006889506708830595,-2.612897878861986e-05,0.005681443493813276,-0.0003709779994096607,0.005246029235422611,0,0,0,0,True
Stephanie_Link/train.pt,Stephanie_Link,train,68351,1066,0.0036868515890091658,999,67352,67.41941941941941,0.005852145608514547,0.002809534315019846,1.3537751328840386e-05,0.0035691868979483843,0.0002798578061629087,0.004275393672287464,0,0,1,0,True
Stephanie_Link/val.pt,Stephanie_Link,val,9646,1066,0.01161103043705225,391,9255,23.67007672634271,0.013477088883519173,0.00749274343252182,8.16854735603556e-05,0.005801925901323557,0.0003174779994878918,0.004977989010512829,0,0,0,0,True
Stocktwits/test.pt,Stocktwits,test,36089,1066,0.011610185727477074,1333,34756,26.073518379594898,0.005375599022954702,0.004168777726590633,8.939897270465735e-06,0.01538076251745224,0.00031786286854185164,0.01326111052185297,0,0,0,0,True
Stocktwits/train.pt,Stocktwits,train,196286,1066,0.0031484670471400023,2988,193298,64.69143239625167,0.0028631689492613077,0.0020611248910427094,-1.4287386875366792e-05,0.009590585716068745,-0.0006045346381142735,0.012680457904934883,0,0,4,0,True
Stocktwits/val.pt,Stocktwits,val,23770,1066,0.0092553636059165,787,22983,29.203303684879288,0.007236011791974306,0.004824268165975809,2.5653096599853598e-05,0.01050613448023796,-0.00020485180721152574,0.011403817683458328,0,0,0,0,True
Sven_Carlin_Ph.D./test.pt,Sven_Carlin_Ph.D.,test,1496,1066,0.029411764815449715,103,1393,13.524271844660195,0.03609625622630119,0.013371850363910198,0.0009757173829711974,0.012936647981405258,0.001849112450145185,0.008121258579194546,0,0,0,0,True
Sven_Carlin_Ph.D./train.pt,Sven_Carlin_Ph.D.,train,10551,1066,0.010046441107988358,360,10191,28.308333333333334,0.014618161134421825,0.006269052159041166,-3.41192317137029e-05,0.00813660304993391,0.0005586695042438805,0.007321998942643404,0,0,0,0,True
Sven_Carlin_Ph.D./val.pt,Sven_Carlin_Ph.D.,val,1371,1066,0.029175784438848495,118,1253,10.61864406779661,0.043763674795627594,0.018600793555378914,0.0003415742248762399,0.008697371929883957,0.0009016198455356061,0.005296625196933746,0,0,0,0,True
The_Maverick_of_Wall_Street/test.pt,The_Maverick_of_Wall_Street,test,12446,1066,0.017756709828972816,1104,11342,10.273550724637682,0.006034350022673607,0.005196447018533945,0.000655978568829596,0.01800769567489624,0.0035249830689281225,0.0205122958868742,0,0,0,0,True
The_Maverick_of_Wall_Street/train.pt,The_Maverick_of_Wall_Street,train,36353,1066,0.005529117304831743,2641,33712,12.764861794774706,0.006302663590759039,0.0054625351913273335,-4.1695302570587955e-06,0.011880875565111637,-0.000583113927859813,0.014661556109786034,0,0,0,0,True
The_Maverick_of_Wall_Street/val.pt,The_Maverick_of_Wall_Street,val,10685,1066,0.018624238669872284,1299,9386,7.225558121632025,0.0074935234151780605,0.006378638092428446,0.0006387696485035121,0.018053267151117325,0.0021721485536545515,0.01377201545983553,0,0,0,0,True
Ticker_Take/test.pt,Ticker_Take,test,1183,1066,0.07438714802265167,142,1041,7.330985915492958,0.0253592561930418,0.01595977321267128,-6.144813232822344e-05,0.012287435121834278,5.503182819666108e-06,0.005671479739248753,0,0,0,0,True
Ticker_Take/train.pt,Ticker_Take,train,6182,1066,0.02167583256959915,333,5849,17.564564564564563,0.015367195010185242,0.007666944060474634,-6.0788846894865856e-05,0.009596769697964191,-0.00011499398533487692,0.006480677053332329,0,0,0,0,True
Ticker_Take/val.pt,Ticker_Take,val,1130,1066,0.048672568053007126,140,990,7.071428571428571,0.02654867246747017,0.017189819365739822,0.00025840941816568375,0.010210576467216015,0.0005255297292023897,0.005898069590330124,0,0,0,0,True
Tom_Nash/test.pt,Tom_Nash,test,2465,1066,0.018255578354001045,266,2199,8.266917293233083,0.03083164244890213,0.02139192260801792,0.001606087782420218,0.025170449167490005,0.00524235051125288,0.029008865356445312,0,0,0,0,True
Tom_Nash/train.pt,Tom_Nash,train,11576,1066,0.006219765171408653,588,10988,18.687074829931973,0.019873159006237984,0.010517825372517109,-1.7022748579620384e-05,0.01205055508762598,0.0004824851348530501,0.018006933853030205,0,0,0,0,True
Tom_Nash/val.pt,Tom_Nash,val,2867,1066,0.016044646501541138,260,2607,10.026923076923078,0.029142946004867554,0.01765618287026882,2.2633497792412527e-05,0.01372616644948721,0.001325046643614769,0.015772687271237373,0,0,0,0,True
Unrivaled_Investing/test.pt,Unrivaled_Investing,test,1060,1066,0.04245283082127571,59,1001,16.966101694915253,0.03679245337843895,0.012555894441902637,0.00031751932692714036,0.016969166696071625,0.002121818484738469,0.011398225091397762,0,0,0,0,True
Unrivaled_Investing/train.pt,Unrivaled_Investing,train,7687,1066,0.011968257836997509,272,7415,27.261029411764707,0.01658758334815502,0.007023948710411787,7.568638102384284e-05,0.007948454469442368,0.00020785897504538298,0.00593141745775938,0,0,0,0,True
Unrivaled_Investing/val.pt,Unrivaled_Investing,val,1247,1066,0.0408981554210186,98,1149,11.724489795918368,0.030505353584885597,0.014536985196173191,0.0004385719366837293,0.011924035847187042,0.0011498841922730207,0.00635035103186965,0,0,0,0,True
traderstewie/test.pt,traderstewie,test,4545,1066,0.02684268355369568,171,4374,25.57894736842105,0.020242024213075638,0.007750300690531731,1.6238131138379686e-05,0.013379978947341442,0.0006451360532082617,0.008539427071809769,0,0,0,0,True
