date,bc_plus_vanilla_iql,iql_vanilla_only,full_modified,train_v2,baseline
2024-09-05 14:28:02,1.0949361548073853,1.1146213266105849,1.1009736900698386,1.1471706848918337,1.103337967776005
2024-09-07 13:00:06,1.0965703700055642,1.1165987317461417,1.1099457028629196,1.1554848974871483,1.1117025501367264
2024-09-11 13:00:55,1.0960246910788447,1.1175113251289084,1.0748515880269744,1.155693735575601,1.114906783280619
2024-09-14 13:00:07,1.0975390644072562,1.1192818167118228,1.0758208416100221,1.1557664666679845,1.1193056281911613
2024-09-18 13:00:02,1.0977896467446464,1.1192900689653185,1.0758208416100221,1.1557664666679845,1.1193056281911613
2024-09-23 13:00:49,1.1173771697721921,1.1399684857995045,1.1083900179532227,1.2072620000628131,1.1463608511461223
2024-09-28 13:00:59,1.1173771697721921,1.1399684857995045,1.1083900179532227,1.2072620000628131,1.1463608511461223
2024-09-29 14:00:52,1.118886350512858,1.142532125336108,1.1402835979541126,1.2428035932769186,1.1374284894556974
2024-10-05 12:00:35,1.118886350512858,1.142532125336108,1.1402835979541126,1.2428035932769186,1.1374284894556974
2024-10-06 12:00:07,1.1206481338884078,1.1430116158304704,1.137025507299845,1.2292602149316754,1.1268383750272106
2024-10-08 17:31:33,1.0973040290727096,1.1200102809254167,1.1162223970954988,1.213713094517418,1.1127516946736675
2024-10-12 13:00:28,1.0973040290727096,1.1200102809254167,1.1162223970954988,1.213713094517418,1.1127516946736675
2024-10-13 12:00:52,1.0991696215021511,1.1225222167419324,1.1299819474449186,1.2313471807172742,1.1285431399220438
2024-10-16 15:10:39,1.094334425092659,1.1166113403946143,1.1097885381341177,1.20973831634426,1.1113524953820983
2024-10-19 12:01:06,1.0926311061488465,1.1150558777766455,1.0996810594527853,1.1978713624941482,1.1011290090807953
2024-10-22 17:15:00,1.0921751381943243,1.1148261636207417,1.0882114466577417,1.1853776302542605,1.089644294250996
2024-10-26 12:00:53,1.0929595440390163,1.115882423932757,1.0953030820154757,1.1931024763223628,1.0967452671622777
2024-10-29 16:15:00,1.0889635069502663,1.1116413232229276,1.0710763516145043,1.16671254598326,1.072486637434706
2024-10-31 16:00:13,1.095586756293606,1.1190804524172295,1.0986816340921455,1.1960110634324583,1.1001096499924807
2024-11-05 13:01:14,1.1526340406952156,1.1810181314098882,1.2649801292616938,1.3512153734156311,1.1545623831071097
2024-11-09 13:00:09,1.1650086683487815,1.1943511406412046,1.319215388692865,1.4221492482580311,1.2094549543719
2024-11-15 13:00:41,1.162509482186635,1.19293888037029,1.308944923247221,1.4090294973794175,1.1982973717766128
