ticker,n_signals,mean_gap_days,median_gap_days,max_gap_days,tail_silence_days,tail_silence_pos_days,tail_silence_neg_days,first_date,last_date
SCHW,4,76.33333333333333,79.0,136.0,42,273.0,,2024-04-01 10:00:41,2024-11-18 10:55:00
SHW,5,54.5,39.5,126.0,136,136.0,309.0,2024-01-08 15:00:15,2024-08-16 09:55:00
SMCI,2,9.0,9.0,9.0,40,,40.0,2024-11-11 10:55:00,2024-11-20 10:55:00
T,4,101.33333333333333,69.0,224.0,28,333.0,28.0,2024-01-31 22:02:04,2024-12-02 10:55:00
TGT,25,14.416666666666666,13.5,42.0,4,7.0,4.0,2024-01-08 15:00:15,2024-12-26 10:55:00
TMUS,2,42.0,42.0,42.0,55,,97.0,2024-09-24 09:55:00,2024-11-05 10:55:00
TROW,9,18.125,16.5,37.0,207,207.0,244.0,2024-01-08 15:00:15,2024-06-06 10:00:58
TSLA,52,6.705882352941177,6.0,20.0,0,74.0,0.0,2024-01-05 15:00:42,2024-12-30 10:55:00
UAA,4,107.33333333333333,118.0,135.0,33,,168.0,2024-01-08 15:00:15,2024-11-27 10:55:00
ULTA,13,19.5,17.0,39.0,7,7.0,43.0,2024-04-30 09:55:00,2024-12-23 10:55:00
V,16,17.533333333333335,12.0,51.0,90,90.0,,2024-01-02 15:00:05,2024-10-01 09:52:00
WMT,18,17.58823529411765,18.0,45.0,4,4.0,105.0,2024-02-26 13:00:20,2024-12-26 10:55:00
XYZ,3,63.0,63.0,91.0,133,,133.0,2024-04-13 12:00:01,2024-08-19 09:55:00
