scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,ticker,sil_gt_sig
MOS,51,691,742,0.06873315363881402,0.931266846361186,13.549019607843137,MOS,True
HTZ,3,738,741,0.004048582995951417,0.9959514170040485,246.0,HTZ,True
ANF,10,730,740,0.013513513513513514,0.9864864864864865,73.0,ANF,True
KMB,23,716,739,0.03112313937753721,0.9688768606224628,31.130434782608695,KMB,True
LW,4,735,739,0.005412719891745603,0.9945872801082544,183.75,LW,True
AMC,46,691,737,0.06241519674355495,0.937584803256445,15.021739130434783,AMC,True
WEAT,4,732,736,0.005434782608695652,0.9945652173913043,183.0,WEAT,True
U,13,722,735,0.017687074829931974,0.9823129251700681,55.53846153846154,U,True
HOG,2,729,731,0.0027359781121751026,0.9972640218878249,364.5,HOG,True
LI,4,727,731,0.005471956224350205,0.9945280437756497,181.75,LI,True
SARK,5,724,729,0.006858710562414266,0.9931412894375857,144.8,SARK,True
STT,10,719,729,0.013717421124828532,0.9862825788751715,71.9,STT,True
JKS,2,717,719,0.0027816411682892906,0.9972183588317107,358.5,JKS,True
RH,5,714,719,0.006954102920723227,0.9930458970792768,142.8,RH,True
BTC,164,551,715,0.22937062937062938,0.7706293706293706,3.3597560975609757,BTC,True
DOCS,3,704,707,0.004243281471004243,0.9957567185289957,234.66666666666666,DOCS,True
CEG,23,683,706,0.032577903682719546,0.9674220963172805,29.695652173913043,CEG,True
JMIA,4,700,704,0.005681818181818182,0.9943181818181818,175.0,JMIA,True
MCK,14,687,701,0.019971469329529243,0.9800285306704708,49.07142857142857,MCK,True
SNA,14,683,697,0.020086083213773313,0.9799139167862266,48.785714285714285,SNA,True
DNUT,3,693,696,0.004310344827586207,0.9956896551724138,231.0,DNUT,True
URBN,2,686,688,0.0029069767441860465,0.997093023255814,343.0,URBN,True
CTVA,17,670,687,0.024745269286754003,0.975254730713246,39.411764705882355,CTVA,True
COF,12,674,686,0.01749271137026239,0.9825072886297376,56.166666666666664,COF,True
OPEN,21,659,680,0.030882352941176472,0.9691176470588235,31.38095238095238,OPEN,True
ACI,1,678,679,0.0014727540500736377,0.9985272459499264,678.0,ACI,True
SJM,18,659,677,0.026587887740029542,0.9734121122599705,36.611111111111114,SJM,True
BIDU,6,670,676,0.008875739644970414,0.9911242603550295,111.66666666666667,BIDU,True
NET,6,666,672,0.008928571428571428,0.9910714285714286,111.0,NET,True
SIGA,3,666,669,0.004484304932735426,0.9955156950672646,222.0,SIGA,True
BP,3,664,667,0.004497751124437781,0.9955022488755623,221.33333333333334,BP,True
BBAI,6,658,664,0.009036144578313253,0.9909638554216867,109.66666666666667,BBAI,True
TLRY,20,642,662,0.030211480362537766,0.9697885196374623,32.1,TLRY,True
ZTS,24,635,659,0.036418816388467376,0.9635811836115327,26.458333333333332,ZTS,True
LKNCY,11,646,657,0.0167427701674277,0.9832572298325722,58.72727272727273,LKNCY,True
SONY,4,652,656,0.006097560975609756,0.9939024390243902,163.0,SONY,True
CHWY,10,646,656,0.01524390243902439,0.9847560975609756,64.6,CHWY,True
PGR,21,633,654,0.03211009174311927,0.9678899082568807,30.142857142857142,PGR,True
WIX,2,650,652,0.003067484662576687,0.9969325153374233,325.0,WIX,True
XPEV,6,645,651,0.009216589861751152,0.9907834101382489,107.5,XPEV,True
CAPR,4,646,650,0.006153846153846154,0.9938461538461538,161.5,CAPR,True
ZS,8,639,647,0.012364760432766615,0.9876352395672334,79.875,ZS,True
S,4,638,642,0.006230529595015576,0.9937694704049844,159.5,S,True
