file,source,kol,split,rows,state_dim,d_sig,d_sil,sil_sig_ratio,done_ratio,nan_total,inf_total,done_next_nonzero,non_done_next_zero,meta_len_ok,action_abs_mean,baseline_abs_mean,reward_mean,reward_std
youtube/Everything_Money/test.pt,youtube,Everything_Money,test,62,1066,22,40,1.8181818181818181,0.25806450843811035,0,0,0,0,True,0.11290322989225388,0.060603879392147064,0.013776316307485104,0.09375772625207901
youtube/Everything_Money/train.pt,youtube,Everything_Money,train,223,1066,39,184,4.717948717948718,0.1165919303894043,0,0,0,0,True,0.07174887508153915,0.040560033172369,0.003420634660869837,0.042472779750823975
youtube/Everything_Money/val.pt,youtube,Everything_Money,val,78,1066,43,35,0.813953488372093,0.44871795177459717,0,0,0,0,True,0.06410256773233414,0.04917386919260025,0.006718874908983707,0.0466831773519516
youtube/Financial_Education/test.pt,youtube,Financial_Education,test,2261,1066,410,1851,4.514634146341463,0.03184431791305542,0,0,0,0,True,0.019963344559073448,0.017167827114462852,0.0028161020018160343,0.03304676339030266
youtube/Financial_Education/train.pt,youtube,Financial_Education,train,10801,1066,966,9835,10.181159420289855,0.010276826098561287,0,0,0,0,True,0.0131983058527112,0.010481266304850578,0.00021893435041420162,0.0191603172570467
youtube/Financial_Education/val.pt,youtube,Financial_Education,val,2382,1066,383,1999,5.219321148825065,0.0314861461520195,0,0,0,0,True,0.020151132717728615,0.017520122230052948,0.0006207121768966317,0.020797669887542725
youtube/Humbled_Trader/test.pt,youtube,Humbled_Trader,test,137,1066,24,113,4.708333333333333,0.10948905348777771,0,0,0,0,True,0.08759123831987381,0.04285774752497673,0.007694377563893795,0.08358827233314514
youtube/Humbled_Trader/train.pt,youtube,Humbled_Trader,train,364,1066,49,315,6.428571428571429,0.06043956056237221,0,0,0,0,True,0.07417582720518112,0.030046146363019943,0.004697742406278849,0.041616883128881454
youtube/Humbled_Trader/val.pt,youtube,Humbled_Trader,val,67,1066,16,51,3.1875,0.2238806039094925,0,0,0,0,True,0.10447761416435242,0.050007179379463196,0.014642384834587574,0.06972765922546387
youtube/Invest_with_Henry/test.pt,youtube,Invest_with_Henry,test,1820,1066,356,1464,4.112359550561798,0.018681319430470467,0,0,0,0,True,0.037448540329933167,0.02923869900405407,0.001548747648485005,0.017723126336932182
