kol,rows,file
ChrisCamillo,797,original_ChrisCamillo.jsonl
Tesla,750,original_Tesla.jsonl
bbands,629,original_bbands.jsonl
SofiaHCBBG,617,original_SofiaHCBBG.jsonl
10kdiver,571,original_10kdiver.jsonl
jaltucher,533,original_jaltucher.jsonl
DanZanger,529,original_DanZanger.jsonl
bgurley,432,original_bgurley.jsonl
benthompson,410,original_benthompson.jsonl
MohnishPabrai,337,original_MohnishPabrai.jsonl
CitronResearch,229,original_CitronResearch.jsonl
AswathDamodaran,221,original_AswathDamodaran.jsonl
StevenACohen2,204,original_StevenACohen2.jsonl
dogecoin,185,original_dogecoin.jsonl
TraderLion,164,original_TraderLion.jsonl
davidfaber,104,original_davidfaber.jsonl
cdixon,98,original_cdixon.jsonl
michaeljburry,87,original_michaeljburry.jsonl
HindenburgRes,80,original_HindenburgRes.jsonl
CathieDWood,64,original_CathieDWood.jsonl
Carl_C_Icahn,61,original_Carl_C_Icahn.jsonl
josephwang,41,original_josephwang.jsonl
DonAlt,20,original_DonAlt.jsonl
Downtown,15,original_Downtown.jsonl
Tree_of_Alpha,9,original_Tree_of_Alpha.jsonl
PremiumBusiness,8,original_PremiumBusiness.jsonl
Pjmatlock,4,original_Pjmatlock.jsonl
QTRResearch,1,original_QTRResearch.jsonl
